Orderdetails_id,Order_id,Pizza_id,Quantity
1,1,406,3
2,1,672,1
3,1,615,3
4,2,553,5
5,2,35,4
6,2,44,3
7,2,638,2
8,3,413,4
9,3,731,3
10,3,377,1
11,3,491,3
12,3,95,3
13,3,666,2
14,3,612,1
15,3,390,3
16,3,684,4
17,4,501,4
18,4,435,5
19,4,128,2
20,4,439,3
21,4,699,1
22,5,254,4
23,5,440,1
24,5,173,2
25,5,394,5
26,5,704,3
27,5,202,4
28,6,568,5
29,6,268,5
30,6,686,3
31,6,291,5
32,6,192,4
33,6,338,4
34,6,458,4
35,6,524,4
36,6,138,1
37,6,602,2
38,7,528,1
39,7,551,2
40,7,165,4
41,7,571,2
42,7,71,3
43,7,484,1
44,7,110,5
45,7,248,3
46,7,639,3
47,7,35,3
48,7,404,4
49,7,351,1
50,7,59,5
51,7,306,2
52,7,537,1
53,7,308,3
54,7,122,4
55,8,460,5
56,8,249,2
57,8,104,3
58,8,373,3
59,8,1,5
60,8,74,5
61,8,48,1
62,8,590,5
63,8,506,4
64,8,440,5
65,8,397,2
66,8,569,5
67,9,657,1
68,9,318,1
69,9,577,1
70,9,181,1
71,9,273,1
72,9,573,4
73,9,660,4
74,9,454,5
75,9,596,4
76,10,356,1
77,11,151,1
78,11,26,5
79,11,150,5
80,12,348,4
81,12,424,3
82,12,310,4
83,12,164,2
84,12,179,2
85,12,319,5
86,12,175,2
87,12,225,1
88,12,481,3
89,12,678,1
90,12,16,1
91,12,228,5
92,12,466,1
93,12,443,1
94,13,501,3
95,13,521,5
96,13,146,5
97,13,523,4
98,13,716,3
99,13,61,1
100,13,101,5
101,13,272,2
102,13,271,3
103,13,441,5
104,13,721,2
105,13,586,4
106,13,285,2
107,13,616,4
108,13,700,4
109,13,447,1
110,13,487,5
111,13,105,2
112,13,441,4
113,13,356,2
114,14,634,2
115,14,216,3
116,14,180,1
117,14,311,3
118,14,511,1
119,14,168,5
120,15,478,4
121,15,127,2
122,15,437,2
123,15,57,4
124,15,259,4
125,15,554,3
126,15,232,4
127,16,65,4
128,16,103,1
129,16,446,5
130,16,117,5
131,16,246,5
132,16,713,2
133,16,321,3
134,16,574,1
135,16,379,4
136,17,49,3
137,17,678,5
138,17,686,3
139,17,121,4
140,17,219,1
141,17,389,5
142,17,226,4
143,17,461,3
144,17,356,1
145,17,23,3
146,17,408,1
147,17,47,4
148,18,146,2
149,19,260,4
150,19,666,4
151,19,545,4
152,19,301,5
153,19,213,4
154,19,208,3
155,20,555,1
156,20,181,3
157,20,255,1
158,20,543,5
159,21,284,3
160,21,681,5
161,21,666,3
162,21,238,2
163,21,687,4
164,21,359,1
165,21,219,5
166,21,250,1
167,21,283,2
168,21,728,4
169,22,245,1
170,22,572,3
171,22,315,4
172,22,200,5
173,22,254,5
174,22,369,2
175,22,39,1
176,22,302,2
177,22,515,1
178,22,180,1
179,22,641,1
180,22,503,2
181,22,477,5
182,22,487,5
183,22,71,3
184,22,124,4
185,23,26,4
186,23,23,4
187,23,511,5
188,23,208,3
189,23,622,5
190,23,166,3
191,23,456,5
192,23,676,1
193,23,143,4
194,23,637,5
195,23,291,3
196,23,83,3
197,23,335,3
198,23,647,4
199,24,621,5
200,24,527,2
201,24,598,2
202,24,532,5
203,24,96,1
204,24,572,4
205,24,410,5
206,24,104,1
207,24,499,3
208,24,175,4
209,24,308,5
210,24,157,5
211,25,292,4
212,25,82,4
213,25,158,5
214,25,650,3
215,25,678,5
216,25,355,2
217,25,383,4
218,25,40,2
219,25,290,2
220,25,360,1
221,25,422,1
222,25,22,4
223,26,554,4
224,26,323,5
225,26,355,1
226,26,555,3
227,26,107,5
228,26,384,1
229,26,120,2
230,26,481,4
231,26,257,2
232,27,612,2
233,27,672,3
234,27,208,4
235,27,569,1
236,27,412,2
237,27,14,2
238,27,356,2
239,27,166,5
240,27,600,2
241,27,438,3
242,27,34,3
243,27,39,4
244,27,716,1
245,27,26,2
246,27,140,2
247,27,338,2
248,27,323,3
249,28,477,1
250,28,599,2
251,28,527,4
252,28,276,3
253,28,45,5
254,28,337,3
255,28,443,5
256,28,197,3
257,28,146,3
258,28,695,5
259,28,258,1
260,28,29,5
261,28,415,2
262,29,567,4
263,29,543,1
264,29,98,2
265,29,255,5
266,29,86,2
267,29,209,5
268,29,613,5
269,29,213,2
270,29,198,2
271,29,12,3
272,29,302,5
273,29,273,3
274,30,222,1
275,30,649,5
276,30,300,1
277,30,236,2
278,30,343,5
279,30,729,3
280,30,323,5
281,30,229,2
282,31,624,3
283,31,479,5
284,31,113,3
285,31,371,1
286,31,106,1
287,31,173,3
288,31,214,3
289,31,292,4
290,31,710,1
291,31,448,3
292,31,575,4
293,31,426,5
294,31,557,3
295,31,152,3
296,31,173,4
297,31,410,5
298,31,374,5
299,31,566,4
300,31,17,3
301,32,539,1
302,32,413,5
303,32,229,4
304,32,680,3
305,32,721,1
306,32,150,2
307,32,677,3
308,33,61,4
309,33,234,5
310,33,698,1
311,33,546,5
312,33,57,2
313,33,118,3
314,33,474,2
315,33,441,4
316,33,209,3
317,33,688,5
318,33,237,1
319,33,112,1
320,34,76,4
321,34,527,1
322,34,153,4
323,34,628,1
324,34,712,1
325,34,511,2
326,34,44,2
327,34,498,3
328,34,189,4
329,35,344,2
330,35,691,4
331,35,181,4
332,35,253,5
333,35,560,1
334,35,27,4
335,35,574,1
336,35,665,4
337,35,230,5
338,35,399,1
339,35,412,5
340,35,294,4
341,35,105,2
342,35,619,3
343,35,194,3
344,36,278,4
345,36,106,4
346,36,633,5
347,36,431,5
348,36,127,4
349,36,321,5
350,36,215,5
351,36,667,5
352,36,110,4
353,36,168,3
354,36,109,2
355,36,231,3
356,36,86,1
357,36,45,2
358,36,145,5
359,36,363,1
360,36,372,4
361,36,264,4
362,36,189,4
363,37,311,5
364,37,320,2
365,37,172,5
366,37,114,2
367,37,328,1
368,37,255,1
369,37,668,4
370,37,351,5
371,38,344,2
372,38,641,1
373,38,66,3
374,38,11,5
375,38,327,3
376,38,232,4
377,39,283,5
378,39,368,5
379,39,611,2
380,39,87,5
381,39,592,1
382,39,126,1
383,39,97,4
384,39,628,4
385,40,96,3
386,40,198,3
387,40,459,2
388,40,283,4
389,40,261,5
390,40,179,2
391,40,648,5
392,40,561,2
393,40,175,4
394,40,195,3
395,40,111,5
396,40,525,5
397,40,58,4
398,40,192,4
399,40,315,5
400,40,369,5
401,40,545,3
402,40,617,5
403,41,499,3
404,41,594,2
405,41,403,3
406,41,115,5
407,41,621,5
408,41,544,4
409,41,548,4
410,41,700,1
411,41,252,1
412,41,89,2
413,41,364,3
414,41,508,3
415,41,140,2
416,41,488,5
417,41,239,4
418,41,631,2
419,41,195,2
420,41,516,4
421,41,207,2
422,42,334,3
423,42,639,3
424,42,398,5
425,42,555,1
426,42,562,4
427,42,19,3
428,42,712,1
429,42,552,5
430,42,47,2
431,42,391,2
432,42,362,2
433,43,537,3
434,43,295,1
435,43,103,4
436,43,496,5
437,43,652,1
438,44,329,3
439,44,308,2
440,44,5,4
441,44,432,5
442,44,432,3
443,44,80,4
444,44,272,5
445,44,456,1
446,44,396,4
447,44,64,2
448,45,191,1
449,45,254,4
450,45,135,3
451,45,60,5
452,45,356,4
453,45,140,1
454,45,397,2
455,45,688,4
456,45,398,2
457,45,45,3
458,45,268,3
459,45,300,4
460,46,459,2
461,46,528,2
462,46,44,3
463,47,552,5
464,47,125,3
465,47,597,3
466,47,570,4
467,47,2,1
468,47,472,3
469,47,85,1
470,47,230,4
471,48,649,4
472,48,43,5
473,48,627,3
474,48,628,1
475,48,390,1
476,48,487,2
477,48,563,3
478,48,432,5
479,49,236,1
480,49,64,2
481,49,537,4
482,49,462,3
483,49,502,5
484,50,415,1
485,50,581,1
486,50,363,4
487,50,223,3
488,50,645,4
489,50,373,5
490,50,114,5
491,50,497,5
492,50,214,5
493,50,450,3
494,50,603,2
495,50,269,1
496,50,476,2
497,50,439,2
498,50,144,1
499,51,15,2
500,51,27,1
501,51,587,5
502,51,702,2
503,51,415,4
504,51,347,1
505,51,574,4
506,51,96,1
507,51,193,3
508,51,290,5
509,51,49,4
510,51,151,3
511,52,538,4
512,52,19,4
513,52,108,4
514,52,253,4
515,52,533,2
516,52,572,1
517,52,714,3
518,52,644,3
519,52,286,1
520,52,69,1
521,52,375,1
522,52,469,3
523,52,123,1
524,52,289,5
525,53,254,2
526,53,156,4
527,53,600,3
528,53,710,5
529,53,405,3
530,53,558,2
531,53,114,2
532,53,603,3
533,53,61,3
534,53,500,5
535,53,342,3
536,53,677,4
537,53,564,4
538,53,662,3
539,53,201,4
540,53,66,4
541,53,490,2
542,54,93,5
543,54,55,5
544,54,700,1
545,54,730,4
546,55,196,4
547,55,477,5
548,55,81,3
549,55,211,3
550,55,289,5
551,55,392,5
552,55,504,5
553,55,339,3
554,55,360,1
555,55,177,5
556,56,334,1
557,56,613,4
558,56,145,4
559,56,393,5
560,56,99,4
561,57,435,1
562,57,689,4
563,57,711,5
564,57,410,5
565,57,471,4
566,57,680,1
567,57,483,2
568,57,693,4
569,57,204,4
570,57,44,2
571,57,309,2
572,58,176,4
573,58,468,1
574,58,202,3
575,58,258,5
576,58,412,2
577,58,609,3
578,58,693,2
579,58,713,2
580,58,437,1
581,58,345,5
582,58,104,5
583,58,370,1
584,58,311,5
585,58,126,1
586,58,704,1
587,58,468,1
588,59,251,4
589,59,335,2
590,59,435,3
591,59,511,5
592,59,653,5
593,59,211,4
594,59,702,2
595,59,529,3
596,59,178,2
597,59,525,5
598,59,393,2
599,59,594,2
600,59,416,1
601,59,669,5
602,60,130,1
603,60,368,3
604,60,190,1
605,60,732,4
606,60,193,5
607,60,292,1
608,60,289,1
609,60,398,4
