Pizza_type_id,Name,Category,Description
1,Blazing Onion & Paprika,Veg,Hot & spicy pizza with onion & red paprika toppings and a new spicy peri peri sauce on a Domino's cheesy base.
2,Blazing Onion & Paprika,Nonveg,Hot & spicy pizza with onion & red paprika toppings and a new spicy peri peri sauce on a Domino's cheesy base.
3,Fiery Sausage & Paprika,Veg,Spiciest non veg pizza with spicy & herby chicken sausage and red paprika toppings on a new spicy peri peri sauce base.
4,Fiery Sausage & Paprika,Nonveg,Spiciest non veg pizza with spicy & herby chicken sausage and red paprika toppings on a new spicy peri peri sauce base.
5,Peppy Paneer,Veg,"Flavorful trio of juicy paneer, crisp capsicum with spicy red paprika"
6,Peppy Paneer,Nonveg,"Flavorful trio of juicy paneer, crisp capsicum with spicy red paprika"
7,Veg Extravaganza,Veg,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese"
8,Veg Extravaganza,Nonveg,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese"
9,Veggie Paradise,Veg,"The awesome foursome! Golden corn, black olives, capsicum, red paprika"
10,Veggie Paradise,Nonveg,"The awesome foursome! Golden corn, black olives, capsicum, red paprika"
11,Cheese n Corn,Veg,A delectable combination of sweet & juicy golden corn
12,Cheese n Corn,Nonveg,A delectable combination of sweet & juicy golden corn
13,Pepper Barbecue Chicken,Veg,Pepper barbecue chicken for that extra zing
14,Pepper Barbecue Chicken,Nonveg,Pepper barbecue chicken for that extra zing
15,Chicken Sausage,Veg,"American classic! Spicy, herbed chicken sausage on pizza"
16,Chicken Sausage,Nonveg,"American classic! Spicy, herbed chicken sausage on pizza"
17,Match Day Veg Combo,Veg,Regular Margherita +Regular  Farmhouse + Garlic Bread + Pepsi
18,Match Day Veg Combo,Nonveg,Regular Margherita +Regular  Farmhouse + Garlic Bread + Pepsi
19,Paneer Spice Supreme,Veg,"Loaded with Paneer, Red Paprika, Olives and Jalapeno; The Best a No Onion No Garlic Pizza can get!"
20,Paneer Spice Supreme,Nonveg,"Loaded with Paneer, Red Paprika, Olives and Jalapeno; The Best a No Onion No Garlic Pizza can get!"
21,Fiery Jalapeno & Paprika,Veg,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.
22,Fiery Jalapeno & Paprika,Nonveg,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.
23,Blazing Onion & Paprika,Veg,Hot & spicy pizza with onion & red paprika toppings and a new spicy peri peri sauce on a Domino's cheesy base.
24,Blazing Onion & Paprika,Nonveg,Hot & spicy pizza with onion & red paprika toppings and a new spicy peri peri sauce on a Domino's cheesy base.
25,Fiery Jalapeno & Paprika,Veg,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.
26,Fiery Jalapeno & Paprika,Nonveg,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.
27,Blazing Chicken & Paprika,Veg,Hot & spicy chicken pizza with a combination of chicken keema & red paprika toppings and a new spicy peri peri sauce.
28,Blazing Chicken & Paprika,Nonveg,Hot & spicy chicken pizza with a combination of chicken keema & red paprika toppings and a new spicy peri peri sauce.
29,Fiery Sausage & Paprika,Veg,Spiciest non veg pizza with spicy & herby chicken sausage and red paprika toppings on a new spicy peri peri sauce base.
30,Fiery Sausage & Paprika,Nonveg,Spiciest non veg pizza with spicy & herby chicken sausage and red paprika toppings on a new spicy peri peri sauce base.
31,Paneer Spice Supreme,Veg,"Loaded with Paneer, Red Paprika, Olives and Jalapeno; The Best a No Onion No Garlic Pizza can get!"
32,Paneer Spice Supreme,Nonveg,"Loaded with Paneer, Red Paprika, Olives and Jalapeno; The Best a No Onion No Garlic Pizza can get!"
33,Fiery Jalapeno & Paprika,Veg,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.
34,Fiery Jalapeno & Paprika,Nonveg,Spiciest veg pizza with jalapeno & red paprika toppings and a new spicy peri peri sauce.
35,Peppy Paneer,Veg,"Flavorful trio of juicy paneer, crisp capsicum with spicy red paprika"
36,Peppy Paneer,Nonveg,"Flavorful trio of juicy paneer, crisp capsicum with spicy red paprika"
37,Corn n Cheese Paratha Pizza,Veg,A crazy fusion like never before. A delicious fusion of corn stuffed paratha and cheesy pizza.
38,Corn n Cheese Paratha Pizza,Nonveg,A crazy fusion like never before. A delicious fusion of corn stuffed paratha and cheesy pizza.
39,Blazing Onion & Paprika,Veg,Hot & spicy pizza with onion & red paprika toppings and a new spicy peri peri sauce on a Domino's cheesy base.
40,Blazing Onion & Paprika,Nonveg,Hot & spicy pizza with onion & red paprika toppings and a new spicy peri peri sauce on a Domino's cheesy base.
41,Veg Extravaganza,Veg,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese"
42,Veg Extravaganza,Nonveg,"Black olives, capsicum, onion, grilled mushroom, corn, tomato, jalapeno & extra cheese"
43,Indi Tandoori Paneer,Veg,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo"
44,Indi Tandoori Paneer,Nonveg,"It is hot. It is spicy. It is oh-so-Indian. Tandoori paneer with capsicum, red paprika & mint mayo"
45,Veggie Paradise,Veg,"The awesome foursome! Golden corn, black olives, capsicum, red paprika"
46,Veggie Paradise,Nonveg,"The awesome foursome! Golden corn, black olives, capsicum, red paprika"
47,Cheese n Corn,Veg,A delectable combination of sweet & juicy golden corn
48,Cheese n Corn,Nonveg,A delectable combination of sweet & juicy golden corn
49,Cheese Overload,Veg,"Cheese Overloaded Pizza with a medley of Mozzarella, Cheddar & Ghost Pepper flavoured Cheese."
50,Cheese Overload,Nonveg,"Cheese Overloaded Pizza with a medley of Mozzarella, Cheddar & Ghost Pepper flavoured Cheese."
51,Mexican Green Wave,Veg,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno"
52,Mexican Green Wave,Nonveg,"Mexican herbs sprinkled on onion, capsicum, tomato & jalapeno"
53,Double Cheese Margherita,Veg,A classic delight loaded with extra 100% real mozzarella cheese
54,Double Cheese Margherita,Nonveg,A classic delight loaded with extra 100% real mozzarella cheese
55,Fresh Veggie,Veg,"Delectable combination of onion & capsicum, a veggie lovers pick"
56,Fresh Veggie,Nonveg,"Delectable combination of onion & capsicum, a veggie lovers pick"
57,Achari Do Pyaza,Veg,Tangy & spicy achari flavours on a super cheesy onion pizza- as desi as it gets!
58,Achari Do Pyaza,Nonveg,Tangy & spicy achari flavours on a super cheesy onion pizza- as desi as it gets!
59,Pepper Barbecue Chicken,Veg,Pepper barbecue chicken for that extra zing
60,Pepper Barbecue Chicken,Nonveg,Pepper barbecue chicken for that extra zing
61,Chicken Dominator,Veg,"Loaded with double pepper barbecue chicken, peri-peri chicken, chicken tikka & grilled chicken rashers"
62,Chicken Dominator,Nonveg,"Loaded with double pepper barbecue chicken, peri-peri chicken, chicken tikka & grilled chicken rashers"
63,Fiery Sausage & Paprika,Veg,Spiciest non veg pizza with spicy & herby chicken sausage and red paprika toppings on a new spicy peri peri sauce base.
64,Fiery Sausage & Paprika,Nonveg,Spiciest non veg pizza with spicy & herby chicken sausage and red paprika toppings on a new spicy peri peri sauce base.
65,Blazing Chicken & Paprika,Veg,Hot & spicy chicken pizza with a combination of chicken keema & red paprika toppings and a new spicy peri peri sauce.
66,Blazing Chicken & Paprika,Nonveg,Hot & spicy chicken pizza with a combination of chicken keema & red paprika toppings and a new spicy peri peri sauce.
